,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days
95632,4.1211,-14.421,8.2019,3.0142,-0.017018000000000002,2.4778,10.636,10.092,2.2956,-0.0052744,5
95633,4.0915,-14.421,8.2653,3.0361,-0.025745,2.4957,10.713,10.165,2.3123,-0.01097,6
95682,0.0,15.988,16.718,2.7616,-0.31083,2.6544,30.316999999999997,27.86,4.2617,0.00028463,1
95683,0.0,15.988,16.712,2.7608,-0.31371,2.6536,30.309,27.851999999999997,4.2605,-0.0031441,2
95684,0.0,15.988,16.78,2.7703,-0.29196,2.6627,30.413,27.948,4.2751,-0.054742,3
95685,0.0,15.988,17.863,2.9215,-0.29404,2.8081,32.073,29.473000000000003,4.5085,-0.080897,4
95686,0.0,15.988,18.458,3.0047,-0.2535,2.888,32.986,30.311999999999998,4.6368,-0.09940700000000001,5
95687,0.0,15.988,18.9,3.0664,-0.28449,2.9473,33.664,30.935,4.7321,-0.087389,6
95688,0.0,16.294,11.979000000000001,1.6701,0.022090000000000002,1.6769,21.730999999999998,41.093,3.4475,0.0078296,1
95689,0.0,16.294,11.867,1.6571,0.00059488,1.6639,21.561999999999998,40.774,3.4208,-0.008595499999999999,2
95690,0.0,16.294,12.104000000000001,1.6846,0.015212999999999999,1.6915,21.919,41.45,3.4774,-0.013489,3
95691,0.0,16.294,12.175999999999998,1.6929,0.0042918,1.6999,22.028000000000002,41.655,3.4947,-0.024789,4
95692,0.0,16.294,12.345,1.7126,-0.0018177,1.7196,22.283,42.138000000000005,3.5352,-0.042832,5
95693,0.0,16.294,12.624,1.7448,-0.005324100000000001,1.7519999999999998,22.703000000000003,42.931999999999995,3.6018,-0.039403,6
95694,0.0,-15.289000000000001,6.8314,5.3042,0.19255,5.0223,10.449000000000002,11.309000000000001,3.9503,0.0031417,1
95695,0.0,-15.289000000000001,6.8084,5.2876,0.191,5.0065,10.415999999999999,11.273,3.9379,0.0036680999999999997,2
95696,0.0,-15.289000000000001,6.8046,5.2849,0.19587000000000002,5.0039,10.411,11.267000000000001,3.9359,0.0041951,3
95697,0.0,-15.289000000000001,6.8007,5.2821,0.20708000000000001,5.0013,10.405,11.261,3.9338,-0.010077,4
95698,0.0,-15.289000000000001,6.9063,5.3582,0.19937,5.0734,10.555,11.424000000000001,3.9905,0.0023585,5
95699,0.0,-15.289000000000001,6.8142,5.2918,0.2066,5.0105,10.425,11.282,3.9410000000000003,0.004986600000000001,6
95748,0.0,-115.33,6.9245,4.4229,-0.48802,4.5742,5.6332,2.5943,0.2107,-0.0012438,1
95749,0.0,-115.33,6.9291,4.4284,-0.47002,4.5799,5.6402,2.5975,0.21100000000000002,0.014315999999999999,2
95750,0.0,-115.33,6.8715,4.3604,-0.44422,4.5096,5.5537,2.5577,0.2078,-0.0037220999999999995,3
95751,0.0,-115.33,6.9385,4.4394,-0.45698999999999995,4.5913,5.6542,2.6039999999999996,0.2115,-0.011895000000000001,4
95752,0.0,-115.33,6.9696,4.4761,-0.44378999999999996,4.6293,5.7010000000000005,2.6255,0.2133,-0.03717,5
95753,0.0,-115.33,7.0694,4.5936,-0.466,4.7508,5.8507,2.6944,0.2189,-0.069165,6
95760,1.0533,-35.931999999999995,5.6056,0.9165,-0.25693,0.7183,10.948,6.6812,0.1301,-0.0036834000000000003,1
95761,1.0494,-35.931999999999995,5.6208,0.9199,-0.26992,0.721,10.988,6.7059,0.1306,0.007877,2
95762,1.0616,-35.931999999999995,5.5735,0.9093,-0.23665999999999998,0.7127,10.862,6.629,0.1291,0.009967700000000001,3
95763,1.0638,-35.931999999999995,5.565,0.9074,-0.22351,0.7112,10.84,6.6152,0.1288,-0.018561,4
95764,1.0337,-35.931999999999995,5.6834,0.9338,-0.25463,0.7319,11.155,6.8075,0.1325,-0.048882999999999996,5
95765,1.0018,-35.931999999999995,5.817,0.9636,-0.25629,0.7552,11.511,7.0246,0.1368,-0.026810000000000004,6
95772,2.6336,-37.624,10.305,1.3172,-0.25206,0.7514,8.1568,3.6915,0.3985,0.015144999999999999,1
95773,2.6735,-37.624,10.203,1.2975,-0.2414,0.7402,8.0352,3.6365,0.3925,0.023336000000000003,2
95774,2.6951,-37.624,10.148,1.2871,-0.24261999999999997,0.7343,7.9708,3.6073,0.3894,0.022428,3
95775,2.6927,-37.624,10.154,1.2883,-0.18174,0.7349,7.9779,3.6105,0.3897,-0.012121,4
95776,2.6017,-37.624,10.389000000000001,1.3334,-0.20838,0.7606,8.257,3.7368,0.4034,-0.024807,5
95777,2.5683,-37.624,10.48,1.3507,-0.22171,0.7705,8.3643,3.7854,0.4086,-0.018922,6
95820,1.4258,0.1518,7.5756,2.4302,-0.2035,1.9128,13.1,11.04,3.2614,-0.00030862,1
95821,1.4254,0.1518,7.5779,2.431,-0.20906,1.9134,13.104000000000001,11.044,3.2624,-0.0083693,2
95822,1.4139,0.1518,7.6376,2.4507,-0.2183,1.9289,13.210999999999999,11.133,3.2889,0.0076756,3
