"","output","output.1","output.2","output.3","output.4","output.5","output.6","output.7","output.8","output.9","output.10","output.11"
"259",6,0,0,0,0,0,0,0,0.166666666666667,0,0,1487721600
"260",9,0,0,0,0,0,0,0,0,0,0,1487721600
"261",11,0,0,0,0,0,0,0,0,0,0,1487721600
"262",10,0,0,0,0,0,0,0,0,0,0.1,1487721600
"263",9,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0.111111111111111,1487721600
"264",13,0,0,0,0,0,0,0,0,0,0,1487721600
"265",11,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,1487721600
"266",8,0,0,0,0,0,0,0,0,0,0,1487721600
"267",11,0,0.272727272727273,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.272727272727273,1487721600
"268",10,0,0,0,0,0,0,0,0,0,0.2,1487721600
"269",13,0,0.0769230769230769,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769,1487721600
"270",14,0,0.0714285714285714,0,0,0,0,0,0.0714285714285714,0,0.0714285714285714,1487721600
"271",11,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,1487721600
"272",9,0,0,0,0,0,0,0,0,0,0,1487721600
"273",10,0,0,0,0,0,0,0,0,0,0.1,1487721600
"274",12,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0,1487721600
"275",11,0,0,0,0,0,0,0,0,0,0.0909090909090909,1487721600
"276",7,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0,0,0.142857142857143,0.142857142857143,1487721600
"277",13,0.0769230769230769,0.153846153846154,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,1487721600
"278",10,0,0.1,0,0,0,0,0,0,0,0.2,1487721600
"279",9,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0,1487721600
"280",10,0,0,0,0,0,0,0,0,0,0.1,1487721600
"281",15,0,0,0,0,0,0,0,0,0,0,1487721600
"282",8,0,0,0,0,0,0,0,0,0,0,1487721600
"283",7,0,0,0,0,0,0,0,0,0,0,1487721600
"284",14,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,1487721600
"285",8,0,0,0,0,0,0,0,0.125,0,0,1487721600
"286",15,0,0.133333333333333,0,0,0,0.0666666666666667,0,0,0,0.0666666666666667,1487721600
"287",9,0,0.222222222222222,0,0,0,0,0,0,0,0.222222222222222,1487721600
"288",10,0,0,0,0,0,0,0,0,0,0,1487721600
"289",7,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,1487721600
"290",9,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0,1487721600
"291",10,0,0,0,0,0,0,0,0,0,0,1487721600
"292",5,0,0,0,0,0,0,0,0,0,0,1487721600
"293",15,0.0666666666666667,0,0,0.0666666666666667,0,0,0,0,0.0666666666666667,0,1487721600
"294",8,0,0.125,0,0,0,0.125,0,0,0.125,0,1487721600
"295",9,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0.111111111111111,1487721600
"296",14,0,0,0,0,0,0,0,0,0,0,1487721600
"297",13,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0,0.153846153846154,1487721600
"298",12,0,0,0,0,0,0,0,0,0,0,1487721600
"299",8,0.125,0.125,0,0,0.125,0,0.125,0.125,0,0.125,1487721600
"300",11,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,1487721600
"301",11,0,0,0,0,0,0,0,0,0,0.0909090909090909,1487721600
"302",15,0,0.133333333333333,0,0,0,0,0,0,0,0.0666666666666667,1487721600
"303",11,0,0.0909090909090909,0,0,0,0,0,0,0,0.181818181818182,1487721600
"304",6,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0,1487721600
"305",12,0,0,0,0,0,0,0,0.0833333333333333,0,0.166666666666667,1487721600
"306",12,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,1487721600
"307",14,0.0714285714285714,0.142857142857143,0,0.0714285714285714,0,0.0714285714285714,0,0.0714285714285714,0.142857142857143,0.142857142857143,1487721600
"308",13,0,0.153846153846154,0,0,0,0,0,0,0,0.153846153846154,1487721600
"309",7,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0,0,0.142857142857143,0,1487721600
"310",6,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0,1487721600
"311",8,0,0,0,0,0,0,0,0,0,0.125,1487721600
"312",4,0.25,0,0,0.25,0,0.25,0,0,0.25,0,1487721600
"313",8,0,0,0,0,0,0,0,0,0,0,1487721600
"314",3,0,0,0,0,0,0,0,0,0,0,1487721600
"315",12,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,1487721600
"316",11,0,0.181818181818182,0,0,0,0,0,0,0,0.181818181818182,1487721600
"317",10,0.1,0.2,0,0.1,0.1,0.1,0,0,0.1,0.1,1487721600
"318",12,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,1487721600
"319",9,0,0,0,0,0,0,0,0.111111111111111,0,0,1487721600
